neighbourhood,personal_income,residents,unhappy_percentage,prolonged_illness_percentage,high_level_of_education_percentage,worries_about_money_percentage,has_debts_percentage,65plus_percentage
Schouwbroek,32.6,1532,5.0,1.0,38.7,12.0,30.0,13.6
Schrijversbuurt,41.6,3584,3.0,2.0,53.7,10.0,20.0,16.5
Schuttersbosch,46.8,618,2.0,2.0,59.5,6.0,13.0,34.3
Sintenbuurt,34.6,1830,8.0,9.0,40.9,14.0,22.0,14.6
Sportpark Aalsterweg,,15,,,,,,40.0
Strijp S,39.9,1665,5.0,1.0,66.1,16.0,59.0,2.0
't Hofke,29.3,3683,6.0,6.0,36.4,14.0,16.0,19.7
't Hool,29.8,2256,10.0,3.0,33.5,20.0,27.0,17.2
Tempel,29.2,5079,4.0,5.0,24.0,11.0,16.0,25.3
Tivoli,23.8,1450,8.0,9.0,14.8,14.0,22.0,15.7
Tongelresche Akkers,44.5,1453,8.0,7.0,50.0,15.0,23.0,8.7
Tuindorp,40.1,2952,5.0,3.0,63.4,15.0,27.0,23.0
TU-terrein,21.1,782,,,,,,0.0
Urkhoven,24.8,163,,,16.7,,,13.5
Vaartbroek,27.9,5242,9.0,8.0,24.9,15.0,21.0,18.5
Villapark,57.9,2261,2.0,2.0,61.2,1.0,9.0,16.0
Vlokhoven,26.1,3538,10.0,9.0,27.0,21.0,27.0,22.7
Vredeoord,11.3,503,,,2.1,,,10.7
Waterrijk,53.5,2228,4.0,1.0,63.1,8.0,16.0,2.5
Wielewaal,,97,,,62.5,,,17.5
Winkelcentrum,39.3,659,10.0,3.0,43.9,20.0,27.0,21.9
Witte Dame,47.4,2162,6.0,4.0,78.5,14.0,20.0,9.4
Woenselse Heide,29.1,5252,6.0,9.0,28.1,12.0,15.0,20.4
Woenselse Watermolen,44.9,1362,7.0,3.0,80.8,14.0,19.0,13.2
Woensel-West,27.2,3878,8.0,3.0,41.3,19.0,32.0,7.6
Zandrijk,41.2,2940,2.0,2.0,42.1,8.0,9.0,15.1
Zwaanstraat,59.1,902,3.0,4.0,81.4,12.0,22.0,3.7
Onbekend,,13,,,,,,0.0
